,data,0
0,1001085481352970061965659993037687539296260679689,7
1,1001234913294039101525287016781935636903001009068,49
2,1001646593188263210587663512904194578495013486346,9892
3,1002146489522397735187938373794532314159186823564,14
4,1002154697923819329978501674177842079308887066745,22
5,1002719317642444564099739462573168136975563893107,4
6,1004063055088513447962730857166772452522163738045,71
7,1007808393417320226328554247248974483560249575291,68
8,1008577003326465830005363901744957590766621355391,42
9,1010571095814957481561290395879119628513055166084,9788
10,1011364805837049393275152516344786650067007344401,5
11,1012452827258179699681392997741423893642624332367,56
12,1015997232332807904978748210908721372484384446612,22
13,1016165688555641053373974987557156456688375325022,322
14,1016268037831538077004831208759466302980656205004,473
15,1017474193996456927073167549047954618539708304813,22
16,1018424497414984200573958460861951987955638279733,696
17,1018945884866584898166085000089319723205228218148,8013
18,1019506849547728226486760222880826426913495977056,207
19,1019660334596265419701299736598801118766418951479,6
20,1019699013180628872954003734020700274948399259467,10108
21,1020859108393888717870699765357123163031798724882,3
22,1021079212921442541230922139416518598668841221199,105
23,1021247696137899124443626957339947840975197040984,238
24,1021524753054997563829373434156362119137886064920,51
25,1022058705161238975761975380806618888178098562538,136
26,1024297666964740219804704858733029093014702022343,78
27,1024942835404549064057769300849451114889843106141,427
28,1026484129028310766528367687028802819126411055963,1543
29,1026929015787226249341853659956822831022491660291,566
30,1027037174698743996598138142228018044379327370505,140
31,1028325758169569725442855235732582593776546603969,470
32,1028629809135323788905890298535457716702756377161,963
33,1031568353072893331093282839779838219168806324501,2770
34,1032011639365373900791053042839624322185780437374,81
35,1034585318714351504802893134691670131213109689150,7336
36,1034925522017398317563874129107676826402157073863,4284
37,1035002666596332006155431521515660609388681893481,275
38,1035415661713114344848173555461633339697028212327,821
39,1035416098682353266320362920070971700084955633808,11
40,1037141636908706543813751981941054614468947215508,87
41,1038596260986304969180519966583043419576732494143,15
42,1039084137272406635099709969027812737912676990741,719
43,1040828343942400836898591330476277386713245838305,6151
44,1041090688214448545489710193218447355671249576946,13
45,1041669580949879581053786962021835652402004254778,115
46,1042517166796442351951846532588138813302120004271,155
47,1042856518844798233030711940703259385467254069577,2331
48,104328070126270306886393259330876399651238654583,10
49,1045023500078733657220481672997216011621634116906,23
50,1045494029279707841242037575404618421522064668368,124
51,1046819911955697481285308148843979037024024740960,55
52,1047173845462273232860875842047849842210658880635,322
53,1047478276967362452680332779012455214550076804121,744
54,1048315023666160626178336901109525126113476341622,24
55,1048751724919210278695109446858228303419167239015,359
56,1053009296670594709974838420791410246008210552770,8
57,105415837741518888736043986275616280241929528416,1433
58,1054205319686438332814000597922820096720291080569,41
59,105564313741917999025527250643587565781117022197,1
60,1056661252869178025246056870034890443415856125884,1318
61,1057004047137658983119772957249192566580167935303,4
62,1061156581361700053142574134268032034574589871401,119
63,1061526390949955280056208610156226362418331010830,2064
64,106294341990628430663479179506929007729324292220,5
65,1063698319573343686825177985820131185653811403758,6
66,1064184214927361199328400657261836475555134887440,78
67,1064349742551933115969112149376193809527226024054,2
68,1065282272405180306013691463899579938853372427970,14
69,1066689511088528868128522450508313114983494542455,34
70,1069019370477728889135323973745068148718619271433,49
71,1070795006266609997607790823796231967081735095482,1465
72,1072774908259015684543874031319368856268259420692,93
73,1073186415390290345323181673328308884810857562432,48
74,1073617481850707964183066564303271007313726717980,36
75,1074654824716745942973045474875939166583548353700,3
76,1076586028462091613807353201321297285995214311009,313
77,1077104944762916761424585625687950284633882153871,2918
78,1078117730723651348780658629079013443479573910989,26
79,1082083001610033097204972349481452046944665878306,403
80,1083041240691113182683167697925805505525617194005,1967
81,1087085540205999728117700683105458593515296706127,20
82,1089573664024108335143371545242093581334659096313,3
83,1090220213777614637997811361951631525293796644644,31
84,1090710549357502879906817020089833938682019875489,13
85,1091718942757358046674821703636868193726484805759,109
86,1093738394155790541246537236255789271268447676303,293
87,1095132176649876608235410187290313428993960205183,30
88,109786614296767563824258863144690430821838226871,12
89,1097998195055242329540845585519128736355057579445,62
90,1100085789574152532385117214197894428050360572099,13
91,1101383271516501037234289283438404685078689274232,2968
92,1101817660192080988606553215525798684403852176954,620
93,1102445621448848382867500430361114321899423105717,20
94,1102551542762762659084506721165697551295316547287,4
95,1102976065293989686409736314075653328966572354570,5503
96,1104057862706732306487554625376273961125374896262,885
97,110469707199330750194168375002159134220189130591,213
98,1105108066195655808854087412673254404999255741033,497
99,1111459144413425290674084417506731853632146715947,39
100,1111720571124208884336994111046084344771677331942,3
101,1112215428126252083305345520081777084447340657034,169
102,1112672209753035658021629466419237990834405782523,117
103,1114017007018588182261582738314821578963384149365,343
104,1114395280775267472195016722640625382158368925748,9
105,1116327982560451016596609622841958660507712128906,1036
106,1117027593592734189880256282386448948938575931573,19
107,1118784882015600615422881606066818867392265101758,259
108,1119151893389492498501470504926467586818025803278,172
109,111976173408415485354131086909782106558752168113,8
110,1121308180510076752712570736170006101642525669077,204
111,1121552895383780154742430426366662762013944933529,7
112,1121598259725250518055970430957572705231953475204,439
113,1121805041568338935559087526141522667450103488511,30
114,1123306453689216753285253665420590551588016865643,577
115,1123542421607909859818457509679826023450753952911,274
116,1124329423897765887564094578219936343640589686198,4
117,1126988845492382946921867512199518451204131717209,1668
118,1129109029530299416024965904917328229452633015070,7
119,1129162297415269279977041596034603270113616854776,780
120,1133792758495017249009981427837818312270618261767,749
121,1135881266002057188115324233796094037772384001087,1736
122,1136537295040354918082086571750882401726539390,3
123,114035209854038852772539551378228778766521367527,25
124,1140977589113844700025998885144809909834742368409,216
125,1141354928508799372406021695273891952537785632860,32
126,114438003906253927169275698063483190333250657546,571
127,1145618810542600228159791982047533153823197582464,9859
128,1146877273161679240302910815039498832344896249499,7429
129,1147151856397106442903206921484675040901175867084,12
130,1148414920619354737049727376668017395056445525749,3911
131,1148717937879809331656980131775542504625258514825,25
132,115011512611069838631585244461895218533037760871,5550
133,115034712907899329874557126744627886730432571895,5763
134,1150446509479926868404213499216675999207327928097,2
135,1152703383448661618232661662464954455269751552274,36
136,1153156385989343701540983961214577460025829642368,42
137,1153863011621398146461939709458008198459096134076,7
138,1154163191338260283447549464142142671148936626055,81
139,1155606739844214019418471921008840055737981941632,1721
140,1156195168918720610202734182276311010018994649687,701
141,1157024142054487070048203151985703933195595209087,112
142,1158232744973841192709379247097470375849154652124,387
143,1158931536699939902772291875677147838110160967332,3
144,116074785684617130830546364620404557757531377056,22
145,1162223804889954813518613243336212108919814000846,345
146,116333906621652494175591509470261235514404262624,40
147,1165230731282619036123627600635346457316751271094,49
148,1165883924524608814993332599167619402349445770068,16
149,1165887603372223463707586030334327430648381107513,363
150,1167711157021676028824150121997218710653132022488,81
151,1168058129656313935293288066232394111623847103457,2833
152,1168703116202623501981174301585276865365298565716,18
153,1171500841945457181475814193951052008657672490360,80
154,1172403500782415233232550989677001097662385004051,55
155,1173547811493943013519794921540311757687344938324,6
156,1175598665017005422626344884143451687677742790674,35
157,1175690523296467440561753910007708774933559579996,2727
158,11761262773085782902487071210231530108022358275,223
159,117657919853366989972468051835669980131716236101,5
160,1176627656019504960185345849689708534657320228786,1695
161,1177691333856919865840086533835179318076534495817,3
162,1178033964435173232397517299587048653337520112417,1966
163,1178703418817572972030115802473773038712263612595,10
164,1179327316796503503242368171031190398951501190204,4928
165,117940987629396650458895978304278284010416229248,8980
166,1180318184641357295782191145906124599792508857604,212
167,1180335142743753705048049206199171172386293674318,1
168,1181676719936827255679179319153679507345566657487,63
169,1182744841208551579662038175960276761648841640547,5576
170,1183788439063200592027486593712942385486888006636,892
171,1185984291304637870583235631085521050633243674290,4167
172,1187228632909759154927087111782713504380130224480,1308
173,1187404553680079797329708781267584533654462037355,161
174,1188976386249882972064073829909700450862499548228,2
175,1189450704787555475111210955500390163965829357104,40
176,1192419834347466607101668663638635423967008883650,9146
177,1194729691172320722976031851344971579645027286440,4
178,1198436838480775997417016105560705121295767572406,14
179,119887343498141655978539566534052374338794686653,72
180,1199081079448499966917188487345907896239380622924,17
181,1200624369876474684018613687273174169853841457173,1442
182,1202583412901222966404905570685300991314736975552,4
183,1204055551807821834071108780797163847425824070934,13
184,1206312004876391984372288709635120802071157209879,81
